title,id,genres,release_date,vote_average,vote_count,popularity,runtime,overview,keywords,tagline,status,spoken_languages,production_companies,production_countries,budget,revenue
Minions,211672,"['Family', 'Animation', 'Adventure', 'Comedy']",2015-06-17,6.4,4571,875.581305,91.0,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions', '3d']","Before Gru, they had a history of bad bosses",Released,['English'],"['Universal Pictures', 'Illumination Entertainment']",['United States of America'],74000000,1156730962
Interstellar,157336,"['Adventure', 'Drama', 'Science Fiction']",2014-11-05,8.1,10867,724.247784,169.0,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",Mankind was born on Earth. It was never meant to die here.,Released,['English'],"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","['Canada', 'United States of America', 'United Kingdom']",165000000,675120017
Deadpool,293660,"['Action', 'Adventure', 'Comedy']",2016-02-09,7.4,10995,514.569956,108.0,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","['anti hero', 'mercenary', 'marvel comic', 'superhero', 'based on comic book', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'self healing']",Witness the beginning of a happy ending,Released,['English'],"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']",['United States of America'],58000000,783112979
Guardians of the Galaxy,118340,"['Action', 'Science Fiction', 'Adventure']",2014-07-30,7.9,9742,481.098624,121.0,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","['marvel comic', 'spaceship', 'space', 'outer space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",All heroes start somewhere.,Released,['English'],"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']",170000000,773328629
Mad Max: Fury Road,76341,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015-05-13,7.2,9427,434.278564,120.0,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'on the run', 'convoy', 'peak oil', 'dark future']",What a Lovely Day.,Released,['English'],"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']","['Australia', 'United States of America']",150000000,378858340
Jurassic World,135397,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015-06-09,6.5,8662,418.708552,124.0,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",The park is open.,Released,['English'],"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['United States of America'],150000000,1513528810
Pirates of the Caribbean: The Curse of the Black Pearl,22,"['Adventure', 'Fantasy', 'Action']",2003-07-09,7.5,6985,271.972889,143.0,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.","['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga']",Prepare to be blown out of the water.,Released,['English'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America'],140000000,655011224
Dawn of the Planet of the Apes,119450,"['Science Fiction', 'Action', 'Drama', 'Thriller']",2014-06-26,7.3,4410,243.791743,130.0,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medical research', 'animal attack', 'plague', '3d']",One last chance for peace.,Released,['English'],"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']",['United States of America'],170000000,710644566
The Hunger Games: Mockingjay - Part 1,131631,"['Science Fiction', 'Adventure', 'Thriller']",2014-11-18,6.6,5584,206.227151,123.0,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"['resistance', 'post-apocalyptic', 'dystopia', 'war', 'sequel', 'female protagonist', 'bow and arrow', 'game', 'future war', 'revolt', 'class prejudice', 'human subjugation', 'based on young adult novel']",Fire burns brighter in the darkness,Released,['English'],"['Lionsgate', 'Color Force']",['United States of America'],125000000,752100229
Big Hero 6,177572,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",2014-10-24,7.8,6135,203.73459,102.0,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","['brother brother relationship', 'hero', 'talent', 'revenge', 'best friend', 'another dimension', 'robot', 'boy genius', 'hate', 'aftercreditsstinger', 'moral dilemma', '3d', 'teen superheroes', 'dead brother']",From the creators of Wreck-it Ralph and Frozen,Released,['English'],"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],165000000,652105443
