id,title,genres,release_date,director,cast,vote_average,vote_count,popularity,runtime,overview,keywords,status,spoken_languages,production_companies,production_countries,budget,revenue
1,(500) Days of Summer,"['Comedy', 'Drama', 'Romance']",2009-07-17,['Marc Webb'],"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz', 'Geoffrey Arend', 'Matthew Gray Gubler', 'Clark Gregg', 'Patricia Belcher', 'Rachel Boston', 'Minka Kelly', 'Ian Reed Kesler', 'Valente Rodriguez', 'Yvette Nicole Brown', 'Nicole Vicius', 'Charles Walker', 'Darryl Alan Reed', 'Nadine Ellis', 'Alejandro Estornel', 'Gregory Thompson', 'Rebecca Lin', 'Natalie Boren', 'Maile Flanagan', 'Darryl Sivad', 'Sybil Azur']",7.2,2904,45.610993,95.0,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","['date', 'sex', 'jealousy', 'fight', 'architect', 'gallery', 'interview', 'sister', 'party', 'love', 'friends', 'fate', 'los angeles', 'summer', 'ikea', 'year', 'heartache']",Released,"['English', 'Français', 'svenska']","['Fox Searchlight Pictures', 'Watermark', 'Dune Entertainment III']",['United States of America'],7500000,60722734
2,10 Cloverfield Lane,"['Thriller', 'Science Fiction', 'Drama']",2016-03-10,['Dan Trachtenberg'],"['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.', 'Bradley Cooper', 'Douglas M. Griffin', 'Cindy Hogan', 'Suzanne Cryer', 'Maya Erskine', 'Mat Vairo', 'Ryan Martin Dwyer']",6.8,2468,53.698683,103.0,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?","['kidnapping', 'bunker', 'paranoia', 'basement', 'survivalist', 'apocalypse', 'car accident', 'captive']",Released,['English'],"['Paramount Pictures', 'Bad Robot', 'Spectrum Effects']",['United States of America'],15000000,108286421
3,10 Things I Hate About You,"['Comedy', 'Romance', 'Drama']",1999-03-30,['Gil Junger'],"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik', 'David Krumholtz', 'Andrew Keegan', 'Susan May Pratt', 'Gabrielle Union', 'Larry Miller', 'Daryl Mitchell', 'Allison Janney', 'David Leisure', 'Greg Jackson', 'Kyle Cease', 'Terence Heuston', 'Cameron Fraser', 'Eric Riedmann', 'Quinn Maixner', 'Demegio Kimbrough', 'Todd Butler', 'Dennis Mosley', 'Bianca Kajlich', 'Nick Vukelic', 'Ben Laurance', 'Aidan Kennedy', 'Jelani Quinn', 'Jesse Dyer', 'Aaron Therol', 'Carlos Lacámara', 'Heather Taylor', 'Joshua Thorpe', 'J.R. Johnson', 'Wendy Gottlieb', 'Brian Hood', 'Travis Muller', 'Ari Karczag', 'Laura Kenny', 'Alice Evans', 'Jesper Inglis', 'Nick Brown', 'Monique Powell', 'Brian Mashburn', 'Kay Hanley', 'Michael Eisenstein']",7.3,1701,54.550275,97.0,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.","['shakespeare', 'sister', 'high school', 'cannabis', 'deception', 'teen movie', 'shrew', 'archery', 'feel-good ending', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'play adaptation', 'overprotective father']",Released,"['English', 'Français']","['Mad Chance', 'Jaret Entertainment', 'Touchstone Pictures']",['United States of America'],16000000,53478166
4,11:14,"['Crime', 'Drama', 'Thriller']",2003-05-16,['Greg Marcks'],"['Henry Thomas', 'Blake Heron', 'Barbara Hershey', 'Hilary Swank', 'Clark Gregg', 'Shawn Hatosy', 'Stark Sands', 'Colin Hanks', 'Ben Foster', 'Patrick Swayze', 'Rachael Leigh Cook', 'Jason Segel', 'Rick Gomez']",6.8,206,15.048067,86.0,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,"['alcohol', 'sex', 'robbery', 'secret', 'gun', 'ambulance', 'vandalism', 'chase', 'arrest', 'police', 'cops', 'murder', 'crash', 'connected']",Released,['English'],"['Firm Films', 'Media 8 Entertainment', 'MDP Worldwide']","['Canada', 'United States of America']",6000000,0
5,12 Angry Men,['Drama'],1957-03-25,['Sidney Lumet'],"['Henry Fonda', 'Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker']",8.2,2078,59.259204,96.0,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rican', 'anonymity', 'court case', 'heat', 'group', 'class', 'innocence', 'court', 'courtroom']",Released,['English'],"['United Artists', 'Orion-Nova Productions']",['United States of America'],350000,1000000
6,12 Years a Slave,"['Drama', 'History']",2013-10-18,['Steve McQueen'],"['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o"", 'Benedict Cumberbatch', 'Paul Dano', 'Sarah Paulson', 'Adepero Oduye', 'Scoot McNairy', 'Paul Giamatti', 'Brad Pitt', 'Michael Kenneth Williams', 'Alfre Woodard', 'Chris Chalk', 'Taran Killam', 'Bill Camp', 'Kelsey Scott', 'Bryan Batt', 'Quvenzhané Wallis', 'Garret Dillahunt', 'Dwight Henry', 'Dickie Gravois', 'Ashley Dyke', 'Cameron Zeigler', 'Tony Bentley', 'Christopher Berry', 'Mister Mackey Jr.', 'Craig Tate', 'Storm Reid', 'Tom Proctor', 'Marc Macaulay', 'Vivian Fleming-Alvarez', 'Douglas M. Griffin', 'John McConnell', 'Marcus Lyle Brown', 'Richard Holden', 'Rob Steinberg', 'Anwan Glover', 'James C. Victor', 'Liza J. Bennett', 'Nicole Collins', 'J.D. Evermore', 'Andy Dylan', 'Deneen Tyler', 'Mustafa Harris', 'Gregory Bright', 'Austin Purnell', 'Thomas Francis Murphy', 'Andre Shanks', 'Kelvin Harrison', 'Scott M. Jefferson', 'Isaiah Jackson', 'Topsy Chapman', 'Devin Maurice Evans', 'Jay Huguley', 'Devyn A. Tyler', 'Willo Jean-Baptiste', 'Jason Ament', 'Jon Arthur', 'Sean Paul Braud', 'Blake Burt', 'Carroll Burt', 'Joseph Randy Causin', 'Edward J. Clare', 'JJ Coker', 'Haylie Creppel', 'Justin Edward Davis', 'Emily D. Haley', 'Jim Johnson', 'Mark Joyce', 'John C. Klein', 'Cynthia LeBlanc', 'Elton LeBlanc', ""Gerard 'Jerry' Lewis"", 'Kevonte Mcdonald', 'Ritchie Montgomery', 'Myesha-Tiara', 'Jason Owen', 'Shawn Parsons', 'Haley Powell', 'Wayne Pére', 'Terrell Ransom Jr.', 'Erin Rementer', 'Andre Robinson', 'Corrina Roshea', 'Katherine Jeanie Russell', 'Jarett Shorts', 'Chaz Smith', 'Tyler Soerries', 'Tre Tureaud', 'Justin Christopher Vaughn', 'Bob Walker', 'Caroline Grace Williamson', 'Timothy Wyant']",7.9,3674,95.9229,134.0,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.","['whip', 'kidnapping', 'slavery', 'plantation', 'night shift', 'violin player', 'physical abuse', 'cotton', 'slave owner', '19th century', 'sold into slavery', 'abolitionist']",Released,['English'],"['Plan B Entertainment', 'Regency Enterprises', 'River Road Entertainment', 'Film4', 'New Regency Pictures']","['United States of America', 'United Kingdom']",20000000,187000000
7,127 Hours,"['Adventure', 'Drama', 'Thriller']",2010-11-05,['Danny Boyle'],"['James Franco', 'Kate Mara', 'Amber Tamblyn', 'Clémence Poésy', 'Lizzy Caplan', 'Kate Burton', 'Treat Williams', 'Sean Bott', 'Koleman Stinger', 'Parker Hadley', 'Bailee Michelle Johnson', 'Rebecca C. Olson', 'Fenton Quinn', 'John Lawrence', 'Pieter Jan Brugge', 'Norman Lehnert', 'Peter Joshua Hull', 'Darin Southam', 'Terry S. Mercer', 'Elizabeth Hales', 'Brad Johnson', 'Samantha Marsden', 'Kyle Paul', 'Kelsie Mathews', 'Aron Ralston', 'Johnny Ahn', 'Robert Bear', 'Lonzo Liggins', 'Priscilla Poland']",7.0,2606,52.464877,94.0,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,"['mountains', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']",Released,['English'],"['Fox Searchlight Pictures', 'Warner Bros.', 'Cloud Eight Films', 'Pathé', 'Film4', 'Everest Entertainment', 'HandMade Films']","['United Kingdom', 'United States of America']",18000000,35692920
8,13 Going on 30,"['Comedy', 'Fantasy', 'Romance']",2004-04-13,['Gary Winick'],"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer', 'Andy Serkis', 'Kathy Baker', 'Samuel Ball', 'Marcia DeBonis', 'Phil Reeves', 'Sean Marquette', 'Christa Brittany  Allen', 'Kiersten Warren', 'Susan Egan', 'Lynn Collins', 'Renee Olstead', 'Alexandra Kyle', 'Alex Black', 'Joe Grifasi', 'Mary Pat Gleason', 'Ashley Benson', 'Brittany Curran', 'Brie Larson', 'Megan Lusk', 'Julia Roth', 'Sarah Loew', 'Philip Pavel', 'Maz Jobrani', 'Robinne Lee', 'Benita Krista Nall', 'Catherine Combs', 'Gia Mantegna', 'Sydni Beaudoin', 'George Hine', 'Irena Violette', 'Ian Barford', 'Sara Swain', 'Jim Gaffigan', 'Corena Chase', 'Crystal Michelle', 'Nadine Ellis', 'Adrian Armas', 'Carmit Bachar', 'Tyce Diorio', 'Stacey Harper', 'Brandon Henschel', 'Kadee Sweeney', 'Kimberly Wyatt', ""Nancy O'Meara"", 'Scout Taylor-Compton', 'Tara Battani', 'Nicole Abisinio']",6.3,1204,41.569541,98.0,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!","['new york', 'photographer', 'editor-in-chief', 'wish', 'michael jackson', 'child as an adult', 'best friends in love']",Released,"['English', 'Français', 'Português']","['Columbia Pictures', 'Revolution Studios', 'Thirteen Productions']",['United States of America'],37000000,96455697
9,13 Hours: The Secret Soldiers of Benghazi,"['Action', 'Drama', 'History', 'Thriller', 'War']",2016-01-13,['Michael Bay'],"['James Badge Dale', 'John Krasinski', 'Max Martini', 'Pablo Schreiber', 'Toby Stephens', 'Dominic Fumusa', 'Matt Letscher', 'David Denman', 'Alexia Barlier', 'Freddie Stroma', 'David Costabile', 'پیمان معادی', 'David Giuntoli', 'Demetrius Grosse', 'Christopher Dingli', 'David Furr', 'Wrenn Schmidt', 'Ivy George', 'Julia Butters', 'Ben Youcef', 'Elektra Anastasi', 'Liisa Evastina', 'Steffi Thake', 'Kerim Troeller', 'Kenny Sheard', 'Andrew Arrabito', 'Davide Tucci', 'Shane Rowe', 'Gábor Bodis', 'Kevin Kent', 'Mike Moriarty', 'Manuel Cauchi', 'Mohamed Naimane']",7.0,938,42.526529,144.0,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,"['based on novel', 'assault rifle', 'mercenary', 'libya', 'biography', 'based on true story', 'heroism', 'explosion', 'american abroad', 'death', '21st century', 'cia agent', 'u.s. ambassador']",Released,"['العربية', 'English']","['Paramount Pictures', '3 Arts Entertainment', 'Bay Films', 'Latina Pictures', 'Dune Films']","['Malta', 'Morocco', 'United States of America']",50000000,69411370
10,1408,"['Horror', 'Thriller']",2007-07-12,['Mikael Håfström'],"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack', 'Jasmine Jessica Anthony', 'Tony Shalhoub', 'Alexandra Silber', 'Emily Harvey', 'Noah Lee Margetts', 'William Armstrong', 'Paul Birchard', 'Margot Leicester', 'Angel Oquendo', 'Walter Lewis', 'Eric Meyers', 'David Nicholson', 'Holly Hayes', 'Johann Urb', 'Andrew-Lee Potts', 'Kim Thomson', 'Drew Powell', 'Gil Cohen-Alloro', 'Isiah Whitlock Jr.', 'Benny Urquidez', 'Len Cariou', 'Ray Nicholas', 'Tina Maskell', 'Paul Kasey', 'George Cottle', 'Julian Spencer', 'William Willoughby', 'Thomas A. McMahon', 'Anthony C. Mazza', 'Chris Carey', 'Kevin Dobson', 'Peter Conboy', 'Georgie Lee-Robinson', 'Bernadette Lords', 'Rob McGillivray', 'Kate Walsh', 'Jacob White']",6.5,1343,35.169779,104.0,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","['suicide', 'new york', 'hotel', 'fire', 'hotel room', 'wife husband relationship', 'suicide attempt', 'window', 'door', 'haunted house', 'research', 'ghost world', 'painting', 'telephone', 'loss of daughter', 'blood']",Released,['English'],"['The Weinstein Company', 'Di Bonaventura Pictures', 'Dimension Films']",['United States of America'],25000000,94679598
